R0235 R0236 R0238 R0251 R0252 R0253 R0324 R0326 R0328 R0336 R0338 R0340 R0348 R0350 R0352 R0360 R0362 R0364
ENSBTAG00000007444 84 87 96 153 114 168 100 82 103 199 142 174 181 152 156 274 236 303
ENSBTAG00000050932 1576 1424 1349 1540 1435 1122 1440 1419 1172 1515 893 943 1552 1267 1666 1516 1699 1331
ENSBTAG00000048837 0 0 0 0 0 0 2 2 2 4 2 2 2 0 2 0 1 4
ENSBTAG00000019014 5122 5293 4940 6461 6625 6372 7495 6181 5827 6696 7328 6930 5959 5007 5966 6196 7834 9916
ENSBTAG00000050833 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0
ENSBTAG00000048858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000021771 71667 75522 69412 74369 76746 70427 106044 88782 79527 83575 89742 75716 90052 75864 87901 68158 80021 99031
ENSBTAG00000017060 84 104 62 168 182 130 96 82 50 328 279 292 46 50 58 243 300 333
ENSBTAG00000014233 40131 43236 38616 36841 39688 37394 38633 47869 30515 43019 46674 41015 66730 55558 66327 41253 46205 54961
ENSBTAG00000005313 2197 2252 1983 3364 3201 2845 6199 5039 4881 6213 5551 5506 6039 5270 6035 6040 7029 8435
ENSBTAG00000008343 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
ENSBTAG00000050376 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000002878 13476 13981 12861 22312 20438 18539 18729 15086 15606 24655 23175 21559 15687 14129 16189 20473 22879 28198
ENSBTAG00000000476 1920 1936 1747 3274 3258 2790 1898 1656 1539 3077 3316 3019 1729 1407 1603 2885 3147 3733
ENSBTAG00000020122 17020 17834 15219 17156 17079 16372 5818 11051 4554 11672 10375 13158 19759 16267 20118 15343 17143 18623
ENSBTAG00000040199 8703 9164 8311 10505 11182 10142 12309 9921 9187 12936 14514 11872 10061 9021 10468 10848 12820 17372
ENSBTAG00000017010 3499 3596 3385 2902 3146 2989 6322 5243 4631 3578 4792 4044 5416 4337 4539 2794 3456 4925
ENSBTAG00000053509 5 2 4 18 10 6 2 2 0 8 8 8 4 2 0 8 10 12
ENSBTAG00000012284 1687 1693 1679 1875 1790 1555 2178 1942 1728 1732 1451 1529 2125 1727 2119 1812 1848 2281
ENSBTAG00000017486 6676 6203 6227 5815 5320 4062 8038 7264 6275 4325 2924 2995 6873 5946 7251 4224 4698 4474
ENSBTAG00000007818 27648 29822 26549 37254 38253 34823 43078 33958 33179 45658 50349 42935 32415 27357 32084 35436 43795 55389
ENSBTAG00000020121 1650 1649 1349 1519 1462 1337 1403 1431 1108 1721 1501 1379 1377 1164 1514 1238 1536 1774
ENSBTAG00000000201 9692 9428 8256 9920 9177 7628 3955 7750 3845 8949 5082 6151 10722 9587 11407 9938 10094 8662
ENSBTAG00000012273 1828 1732 1610 2488 2355 2039 2205 1824 1616 2642 2141 2004 1536 1319 1510 2443 2669 3167
ENSBTAG00000038433 9 13 7 3 3 4 8 6 0 7 6 2 12 13 14 4 10 13
ENSBTAG00000001412 456 470 455 465 435 408 482 578 435 464 555 401 666 511 674 336 422 558
ENSBTAG00000012881 137693 135482 128306 122909 119689 104621 233419 199000 173893 133881 113718 109362 196648 162031 189508 122153 143966 157139
ENSBTAG00000045479 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000050478 49 77 65 73 58 64 144 92 130 94 108 133 101 86 81 99 108 147
ENSBTAG00000052349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000052332 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000042094 20 19 10 38 19 21 16 18 11 28 30 6 29 14 27 34 11 21
